Lesson,Kanji,On,Kun,Trans
4,夏,カ,なつ,лето
4,夕,セキ,ゆう,вечер
5,外,"ガイ
(ゲ)",そと、ほか、はずす,"снаружи, иностранный, исключение"
5,多,タ,おおい,много
4,夜,ヤ,よ、よる,ночь
3,夢,ム,ゆめ,"сон, мечта"
5,大,ダイ、タイ,おおきい,большой
5,天,テン,あめ,"небеса, природа, погода"
4,太,タイ,ふとい,"толстый, большой, великий"
3,夫,フ,おっと,муж
2,央,オー,—,центр
3,失,シツ,うしなう,"терять, неудача"
1,奇,キ,—,"необыкновенный, странный"
1,奉,,,observance
3,奥,オー,おく,глубь
5,女,"ジョ
(ニョ)",おんな,женщина
1,奴,ド,やつ,"парень, слуга"
4,好,コー,このむ、すく,нравиться
1,如,ジョ、ニョ,(ごとし),"подобно, усилительный суффикс"
1,妙,ミョー,—,"таинственный, чудесный, странный"
4,妹,マイ,いもうと,младшая сестра
3,妻,サイ,つま,жена
4,姉,シ,あね,старшая сестра
4,始,シ,はじまる,начинаться
2,姓,,,surname
2,委,イ,ゆだねる,"поручать, комитет"
1,姫,—,ひめ,"принцесса, девушка"
1,姿,シ,すがた,облик
1,威,,,intimidate
3,娘,—,むすめ,дочь
1,婆,バ,—,старуха
2,婚,コン,—,брак
3,婦,フ,—,дама
1,嫌,ケン,いや、きらう,не любить
1,嬢,,,lass
5,子,"シ
(ス)",こ,"ребёнок, детёныш"
4,字,ジ,あざ,"буква, знак"
3,存,ソン、ゾン,—,"полагать, существовать"
2,季,,,сезон
5,学,ガク,まなぶ,"учиться, наука"
2,孫,,,внук
2,宅,,,home
2,宇,,,eaves
3,守,シュ,まもる,защищать
5,安,アン,やすい,"дешёвый, спокойный, безопасный"
2,完,カン,—,"совершенный, безупречный, завершение"
1,宗,シュー、ソー,—,"религия, предок"
3,官,カン,—,"чиновник, орган чувств"
2,宙,,,mid-air
3,定,テイ、ジョー,さだめる,определять
1,宜,,,best regards
2,宝,,,treasure
3,実,ジツ,み、みのる,реальность
3,客,キャク、カク,—,"гость, клиент"
4,室,シツ,むろ,комната
1,宮,キュー、グー,みや,"дворец, храм, принц, принцесса"
2,害,ガイ,—,вред
4,家,"カ
(ケ)",いえ,"дом, суффикс для людей"
3,容,ヨー,—,"содержать, допускать, облик"
3,宿,シュク,やど,гостиница
1,寂,,,loneliness
3,寄,キ,よる,"приближаться, подходить"
1,密,ミツ,—,"секретный, плотный, подобный"
3,富,フ,とみ、とむ,богатство
4,寒,カン,さむい,холодный
3,寝,シン,ねる,ложиться спать
3,察,サツ,—,"инспектировать, предполагать"
1,寸,スン,—,"сун (3.03 см), малый"
3,寺,ジ,てら,буддийский храм
3,対,タイ,—,противоположный
2,封,,,seal
2,専,,,specialty
1,射,シャ,いる,"стрелять, излучать"
3,将,ショー,—,"генерал, командир"
2,尊,ソン,たっとい、とうとい,"почитать, уважать"
1,尋,ジン,たずねる,разыскивать
2,導,,,guide
5,小,ショー,ちいさい,маленький
5,少,ショー,すくない、すこし,"мало, немного, юность"
1,尚,ショー,—,"ещё, почитать"
1,就,,,concerning
1,尺,シャク,—,"мера длины, сяку"
1,尽,,,exhaust
1,尾,ビ,お,хвост
2,局,キョク,—,офис
3,居,キョ,いる,"проживать, находиться"
1,屈,,,yield
2,届,—,とどける,"заявлять, уведомлять, доставлять"
4,屋,オク,や,"дом, крыша"
2,展,,,expand
2,層,,,stratum
5,山,サン,やま,гора
1,岡,—,おか,холм
3,岩,ガン,いわ,"скала, горная порода"
3,岸,ガン,きし,берег
3,島,トー,しま,остров
1,崎,—,さき,мыс
5,川,セン,かわ,река
3,州,シュー,す,"провинция, мель"
4,工,コー、ク,—,ремесло
5,左,サ,ひだり,лево
2,巨,キョ,—,гигантский
3,差,サ,さす,"разница, префикс 差し"
1,己,コ、キ,おのれ,сам
3,巻,カン,まき、まく,"свёртывать, том"
4,市,シ,いち,"город (крупный), рынок"
2,布,フ,ぬの,ткань
2,希,キ,—,"надежда, редкий"
1,帝,,,sovereign
3,師,シ,—,"учитель, духовное лицо, суффикс лица по профессии"
2,席,セキ,—,"место для сидения, помещение, посещение"
2,帯,タイ,おび、おびる,"пояс, лента, носить при себе"
4,帰,キ,かえる,возвращаться
1,帳,チョー,—,книга для записей
3,常,ジョー,つね、とこ,"обычный, постоянный"
2,帽,,,cap
2,幅,,,breadth
1,幕,,,curtain
2,干,カン,ひる、ほす,сухой
3,平,ヘイ,たいら、ひらたい,"плоский, ровный, обычный, простой"
5,年,ネン,とし,"год, возраст"
3,幸,コー,しあわせ、さいわい、さち,счастье
2,幼,,,infancy
1,幾,キ,いく,сколько
2,庁,,,government office
4,広,コー,ひろい,широкий
3,床,ショー,とこ、ゆか,"постель, пол"
